,全长,体长,头长,吻长,体高,尾柄长,尾柄高,眼球直径,D1-2,D1-3,D1-4,D2-4,D3-4,D3-5,D3-6,D4-5,D4-6,D5-6,D5-7,D5-8,D6-7,D6-8,D7-8,D7-9,D7-10,D8-9,D8-10,D9-10,group
TY4,17.434,13.903,4.269,1.239,4.874,1.802,2.008,0.84,5.041,2.928,4.107,3.723,6.282,3.566,4.836,8.99,4.242,6.015,1.128,3.14,6.295,4.975,2.49,1.884,3.121,3.381,2.222,2.58,TY
TY5,17.178,13.022,3.927,1.127,4.822,1.579,1.631,0.762,4.575,2.564,3.809,3.652,5.81,3.604,4.759,8.509,4.083,5.524,1.246,2.933,5.973,4.782,2.162,1.559,2.492,2.779,1.936,1.958,TY
TY6,17.326,13.669,4.116,1.213,5.161,1.617,1.969,0.749,4.767,3.16,4.297,3.532,6.233,3.734,5.05,9.032,3.924,6.258,1.318,3.217,6.44,5.417,2.321,1.782,2.865,3.248,2.021,2.488,TY
TY7,11.235,8.708,2.776,0.808,2.76,1.264,1.028,0.687,3.478,1.16,2.736,2.232,3.647,2.208,2.784,5.554,2.494,3.738,0.861,1.889,4.057,3.451,1.337,1.213,1.736,1.538,1.055,1.131,TY
TY8,17.836,14.375,4.368,1.355,4.939,1.975,1.853,0.919,5.227,2.668,4.182,3.671,6.302,3.648,4.921,9.204,4.499,5.991,1.212,3.101,6.346,5.181,2.348,2.052,2.997,3.273,2.196,2.445,TY
TY9,16.917,13.612,4.169,1.04,4.843,1.813,1.887,0.919,5.107,2.359,4.225,3.644,5.815,3.436,4.682,8.644,4.245,5.784,1.171,2.953,6.168,5.15,2.212,1.842,2.852,2.955,1.934,2.434,TY
TY10,19.769,15.636,5.098,1.698,4.761,2.137,2.013,1.17,6.206,2.919,4.805,4.695,6.766,3.355,4.88,9.83,3.789,6.801,1.373,3.269,7.311,6.57,2.286,2.071,3.14,3.26,1.93,2.465,TY
TY11,15.973,12.431,3.803,1.323,4.293,1.501,1.603,0.774,4.723,2.338,3.602,3.24,5.44,3.389,4.307,7.962,3.534,5.313,1.128,2.645,5.6,4.712,1.88,1.673,2.578,2.615,1.782,1.975,TY
TY12,19.45,15.738,4.92,1.459,5.016,1.95,1.997,0.901,5.772,3.091,4.524,4.664,6.639,4.063,4.842,9.991,4.474,6.413,1.257,3.191,6.868,5.899,2.268,2.07,3.17,3.104,2.261,2.425,TY
TY13,15.567,12.234,4.054,1.215,4.178,1.645,1.666,0.757,4.872,2.15,3.836,3.329,5.28,3.044,4.135,7.677,3.395,5.256,1.19,2.877,5.506,4.411,2.07,1.651,2.591,2.557,1.667,2.066,TY
TY14,17.186,13.49,4.355,1.274,4.394,1.701,1.713,0.972,5.193,2.377,4.092,3.802,5.67,3.395,4.31,8.366,3.48,5.717,1.241,2.786,6.171,5.349,2.008,1.733,2.72,2.671,1.899,2.031,TY
TY15,16.17,12.802,3.892,1.163,4.373,1.8,1.62,0.771,4.573,2.571,3.642,3.555,5.346,3.492,4.34,8.036,3.507,5.453,1.107,2.828,5.817,5.012,2.072,1.842,2.721,2.656,1.798,1.834,TY
TY16,18.991,14.768,3.989,1.016,4.915,2.359,1.904,0.944,5.218,2.873,4.182,3.689,6.331,3.834,4.84,9.488,4.13,6.383,1.131,3.055,6.863,5.671,2.341,2.333,3.036,3.28,2.134,2.235,TY
TY17,17.56,14.011,4.49,1.281,4.666,1.955,1.703,0.944,5.16,2.826,4.137,3.79,6.143,3.612,4.516,8.979,3.958,5.866,1.151,2.85,6.023,5.032,2.075,1.842,2.768,3.059,2.121,2.038,TY
TY18,14.481,11.569,3.706,1.095,3.687,1.703,1.287,0.797,4.339,1.938,3.395,3.192,4.797,3.118,3.807,7.311,2.988,4.992,0.983,2.339,5.218,4.407,1.763,1.574,2.276,2.445,1.728,1.594,TY
TY19,12.829,10.001,3.039,0.89,3.52,1.224,1.36,0.728,3.527,2.032,2.911,2.529,4.263,2.692,3.349,6.326,2.795,4.31,1.015,2.23,4.709,3.728,1.679,1.333,2.017,2.26,1.46,1.455,TY
TY20,16.536,13.318,3.961,1.065,4.414,1.875,1.625,0.761,4.645,2.447,3.7,3.317,5.559,3.423,4.396,8.314,4.219,5.365,1.204,2.758,5.81,4.793,1.959,2.043,2.723,2.784,1.671,2.065,TY
TY21,17.591,13.896,4.244,1.282,4.505,1.764,1.703,0.955,5.122,2.577,4.113,3.404,5.839,3.915,4.485,8.843,4.007,5.878,1.176,2.974,6.146,5.062,2.108,1.777,2.808,2.829,1.911,2.19,TY
TY22,17.526,13.577,4.277,1.27,4.793,1.682,1.902,0.89,5.028,2.711,4.088,3.634,5.874,3.509,4.637,8.563,4.425,5.546,1.319,3.187,5.758,4.489,2.236,1.667,2.519,2.891,1.842,1.994,TY
TY23,20.662,16.46,4.767,1.523,5.338,2.246,1.909,0.946,5.816,3.172,4.704,4.161,6.847,4.383,5.302,10.307,4.612,6.785,1.422,3.533,7.295,6.296,2.592,2.555,3.493,3.3,1.933,2.301,TY
TY24,11.678,9.164,3.02,0.923,3.192,1.174,1.2,0.723,3.489,1.696,2.822,2.597,3.951,2.333,3.196,5.712,2.662,3.851,0.826,1.982,4.103,3.274,1.493,1.126,1.767,1.994,1.382,1.242,TY
TY25,15.094,11.65,3.867,1.257,4.203,1.304,1.541,0.66,4.651,2.283,3.799,3.225,5.327,3.064,4.214,7.586,3.502,5.003,1.129,2.674,5.169,4.315,1.85,1.282,2.204,2.348,1.396,1.778,TY
TY26,19.547,15.447,4.877,1.621,5.322,2.206,1.963,0.843,5.828,2.883,4.634,4.217,6.481,4.064,5.389,9.648,3.796,6.926,1.486,3.434,7.442,6.295,2.473,2.072,2.992,3.239,1.888,2.379,TY
TY27,13.726,10.736,3.643,1.209,3.761,1.448,1.401,0.773,4.086,2.112,3.279,2.903,4.716,2.82,3.636,6.656,3.174,4.356,1.022,2.385,4.69,3.926,1.687,1.334,2.054,2.301,1.161,1.581,TY
TY28,17.385,13.638,4.295,1.398,4.521,2.126,1.716,0.779,5.105,2.766,4.067,3.601,5.978,3.41,4.441,8.797,4.383,5.436,1.188,2.908,5.59,4.576,2.076,1.792,2.718,2.68,1.784,2.004,TY
TY29,18.008,14.516,4.291,1.265,5.255,1.78,2.024,0.874,4.904,3.191,4.161,3.55,6.677,4.093,5.169,9.655,5.081,5.847,1.302,3.239,5.939,4.733,2.391,1.81,2.979,2.913,1.753,2.219,TY
